feature,importance,importance_pct,cumulative_pct,rank
base_ingredient_cost,0.6337127098589697,63.37127098589696,63.37127098589696,1
quantity,0.24050150778355758,24.050150778355757,87.42142176425273,2
guest_count,0.055704165578762906,5.570416557876291,92.99183832212901,3
menu_category_breakfast,0.013021946619119635,1.3021946619119635,94.29403298404098,4
recipe_complexity,0.011856887016267493,1.1856887016267492,95.47972168566773,5
menu_category_nonveg_main,0.011763414363764919,1.176341436376492,96.65606312204422,6
day_of_week_sin,0.008713043881650806,0.8713043881650806,97.5273675102093,7
month_sin,0.006155350393400415,0.6155350393400415,98.14290254954935,8
days_until_event,0.004297285340957244,0.42972853409572437,98.57263108364508,9
day_of_week_cos,0.003758065094877676,0.3758065094877676,98.94843759313285,10
month_cos,0.003050521048290612,0.3050521048290612,99.25348969796191,11
is_weekend,0.002193280838193309,0.21932808381933092,99.47281778178125,12
event_type_Other,0.0014888564175542219,0.14888564175542218,99.62170342353667,13
event_type_Wedding,0.0013854560861696992,0.1385456086169699,99.76024903215364,14
is_festival_season,0.0009298116334004364,0.09298116334004364,99.85323019549368,15
event_type_Birthday,0.0006196790832316396,0.06196790832316396,99.91519810381685,16
event_type_Corporate,0.00044881672685760475,0.044881672685760474,99.96007977650261,17
is_wedding_season,0.00039919868759990667,0.039919868759990665,99.9999996452626,18
menu_category_veg_main,3.344162099176408e-09,3.3441620991764083e-07,99.99999997967882,19
menu_category_rice,2.0321220280812866e-10,2.0321220280812867e-08,100.00000000000004,20
recent_price_trend,0.0,0.0,100.00000000000004,21
price_volatility,0.0,0.0,100.00000000000004,22
historical_demand,0.0,0.0,100.00000000000004,23
has_perishable,0.0,0.0,100.00000000000004,24
