feature,importance,importance_pct,cumulative_pct,rank
base_ingredient_cost,0.723349229524363,72.3349229524363,72.3349229524363,1
quantity,0.16040814927673702,16.0408149276737,88.37573788011,2
menu_category_breakfast,0.039585193043196104,3.9585193043196103,92.3342571844296,3
recipe_complexity,0.029615342229374952,2.9615342229374955,95.2957914073671,4
menu_category_nonveg_main,0.021852586168284092,2.1852586168284094,97.48105002419551,5
guest_count,0.004778622641957421,0.47786226419574207,97.95891228839125,6
days_until_event,0.0038583841544113495,0.38583841544113495,98.34475070383237,7
month_sin,0.0034984060121492147,0.34984060121492144,98.6945913050473,8
day_of_week_sin,0.002799947868375561,0.2799947868375561,98.97458609188486,9
day_of_week_cos,0.002475106008478202,0.2475106008478202,99.22209669273268,10
month_cos,0.002451580570072158,0.2451580570072158,99.4672547497399,11
event_type_Other,0.002273519827441805,0.2273519827441805,99.69460673248408,12
is_wedding_season,0.0010645051071909173,0.10645051071909173,99.80105724320316,13
event_type_Wedding,0.0007128061522780149,0.07128061522780149,99.87233785843097,14
event_type_Corporate,0.0005074821412669234,0.05074821412669234,99.92308607255767,15
is_festival_season,0.00039833262433801417,0.03983326243380142,99.96291933499147,16
is_weekend,0.00019484712762642665,0.019484712762642666,99.98240404775412,17
event_type_Birthday,0.00017595889063668364,0.017595889063668362,99.99999993681779,18
menu_category_veg_main,4.709833134879894e-10,4.7098331348798935e-08,99.99999998391611,19
menu_category_rice,1.6083889885958813e-10,1.6083889885958814e-08,100.0,20
historical_demand,0.0,0.0,100.0,21
has_perishable,0.0,0.0,100.0,22
recent_price_trend,0.0,0.0,100.0,23
price_volatility,0.0,0.0,100.0,24
menu_category_side_dish,0.0,0.0,100.0,25
